date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2012-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.64,0.8942
2012-08-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.1,1.5505
2012-08-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.57,5.0317
2012-08-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.23,13.0053
2012-08-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.26,3.1813
2012-08-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.67,2.3504
2012-08-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.38,16.0274
2012-08-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.31,6.0696
2012-08-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6406
2012-08-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1238
2012-08-15,,,National Average,,,oil and fats,Oil (olive),KG,5.79,8.1482
2012-08-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.88,2.6489
2012-08-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.48,2.0786
2012-08-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.91,2.6856
2012-08-15,,,National Average,,,pulses and nuts,Lentils,KG,1.24,1.7491
2012-08-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.1152
2012-08-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.94,2.7334
2012-08-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.85,1.197
2012-08-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.69,0.9661
2012-08-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.2,3.0954
2012-08-15,,,National Average,,,vegetables and fruits,Onions,KG,0.58,0.8224
2012-08-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.09,1.5392
2012-08-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.79,1.1111
2012-09-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2394
2012-09-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.7,0.9801
2012-09-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.1,1.5505
2012-09-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.46,4.8782
2012-09-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.2,12.9588
2012-09-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.16,3.0362
2012-09-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,2.0363
2012-09-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.61,16.3443
